trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position
48,1,dot,paddle,paddle_mooney_dot_on1,target,regular,post,on
49,1,dot,copier,copier_mooney_dot_on1,target,horizontal_flip,post,on
50,1,dot,cheesecake,cheesecake_mooney_dot_off2,catch,regular,post,off
51,1,dot,stained_glass,stained_glass_mooney_dot_off2,target,horizontal_flip,pre,off
52,1,dot,copier,copier_mooney_dot_off2,target,horizontal_flip,post,off
53,1,dot,whipped_cream,whipped_cream_mooney_dot_off2,target,regular,pre,off
54,1,dot,copier,copier_mooney_dot_on1,target,horizontal_flip,post,on
55,1,dot,tile,tile_mooney_dot_off2,target,upside_down,pre,off
56,1,recognition,stained_glass,stained_glass_mooney,target,horizontal_flip,pre,
57,1,recognition,copier,copier_mooney,target,horizontal_flip,post,
58,1,recognition,tile,tile_mooney,target,upside_down,pre,
59,1,recognition,whipped_cream,whipped_cream_mooney,target,regular,pre,
60,1,recognition,harp,harp_mooney,target,upside_down,post,
61,1,recognition,paddle,paddle_mooney,target,regular,post,
62,1,recognition,cobra,cobra_mooney,catch,upside_down,pre,
63,1,recognition,cheesecake,cheesecake_mooney,catch,regular,post,
64,1,recognition,stained_glass,stained_glass_gray,target,horizontal_flip,gray,
65,1,recognition,tile,tile_gray,target,upside_down,gray,
66,1,recognition,whipped_cream,whipped_cream_gray,target,regular,gray,
67,2,dot,tank1,tank1_mooney_dot_off2,target,regular,pre,off
68,2,dot,cobra,cobra_mooney_dot_off2,catch,upside_down,post,off
69,2,dot,bread,bread_mooney_dot_off2,target,horizontal_flip,pre,off
70,2,dot,whipped_cream,whipped_cream_mooney_dot_off2,target,regular,post,off
71,2,dot,stained_glass,stained_glass_mooney_dot_on1,target,horizontal_flip,post,on
72,2,dot,tank1,tank1_mooney_dot_on1,target,regular,pre,on
73,2,dot,tile,tile_mooney_dot_off2,target,upside_down,post,off
74,2,dot,stained_glass,stained_glass_mooney_dot_on1,target,horizontal_flip,post,on
75,2,dot,radar,radar_mooney_dot_on1,target,upside_down,pre,on
76,2,dot,stained_glass,stained_glass_mooney_dot_off2,target,horizontal_flip,post,off
77,2,dot,tile,tile_mooney_dot_on1,target,upside_down,post,on
78,2,dot,cobra,cobra_mooney_dot_on1,catch,upside_down,post,on
79,2,dot,tank1,tank1_mooney_dot_on1,target,regular,pre,on
80,2,dot,radar,radar_mooney_dot_on1,target,upside_down,pre,on
81,2,dot,tile,tile_mooney_dot_on1,target,upside_down,post,on
82,2,dot,flipper,flipper_mooney_dot_on1,catch,horizontal_flip,pre,on
83,2,dot,whipped_cream,whipped_cream_mooney_dot_on1,target,regular,post,on
84,2,dot,flipper,flipper_mooney_dot_off2,catch,horizontal_flip,pre,off
85,2,dot,radar,radar_mooney_dot_off2,target,upside_down,pre,off
86,2,dot,flipper,flipper_mooney_dot_off2,catch,horizontal_flip,pre,off
87,2,dot,cobra,cobra_mooney_dot_off2,catch,upside_down,post,off
88,2,dot,bread,bread_mooney_dot_off2,target,horizontal_flip,pre,off
89,2,dot,tile,tile_mooney_dot_off2,target,upside_down,post,off
90,2,dot,flipper,flipper_mooney_dot_on1,catch,horizontal_flip,pre,on
91,2,dot,whipped_cream,whipped_cream_mooney_dot_on1,target,regular,post,on
92,2,dot,cobra,cobra_mooney_dot_on1,catch,upside_down,post,on
93,2,dot,radar,radar_mooney_dot_off2,target,upside_down,pre,off
94,2,dot,bread,bread_mooney_dot_on1,target,horizontal_flip,pre,on
95,2,dot,tank1,tank1_mooney_dot_off2,target,regular,pre,off
96,2,dot,whipped_cream,whipped_cream_mooney_dot_off2,target,regular,post,off
97,2,dot,bread,bread_mooney_dot_on1,target,horizontal_flip,pre,on
98,2,dot,stained_glass,stained_glass_mooney_dot_off2,target,horizontal_flip,post,off
99,2,recognition,tank1,tank1_mooney,target,regular,pre,
100,2,recognition,whipped_cream,whipped_cream_mooney,target,regular,post,
101,2,recognition,stained_glass,stained_glass_mooney,target,horizontal_flip,post,
102,2,recognition,radar,radar_mooney,target,upside_down,pre,
103,2,recognition,bread,bread_mooney,target,horizontal_flip,pre,
104,2,recognition,flipper,flipper_mooney,catch,horizontal_flip,pre,
105,2,recognition,cobra,cobra_mooney,catch,upside_down,post,
106,2,recognition,tile,tile_mooney,target,upside_down,post,
107,2,recognition,bread,bread_gray,target,horizontal_flip,gray,
108,2,recognition,tank1,tank1_gray,target,regular,gray,
109,2,recognition,radar,radar_gray,target,upside_down,gray,
110,3,dot,stockings,stockings_mooney_dot_off2,target,regular,pre,off
111,3,dot,mango,mango_mooney_dot_off2,target,upside_down,pre,off
112,3,dot,radar,radar_mooney_dot_on1,target,upside_down,post,on
113,3,dot,bread,bread_mooney_dot_on1,target,horizontal_flip,post,on
114,3,dot,radar,radar_mooney_dot_off2,target,upside_down,post,off
115,3,dot,tank1,tank1_mooney_dot_on1,target,regular,post,on
116,3,dot,soup,soup_mooney_dot_on1,target,horizontal_flip,pre,on
117,3,dot,bread,bread_mooney_dot_off2,target,horizontal_flip,post,off
118,3,dot,radar,radar_mooney_dot_on1,target,upside_down,post,on
119,3,dot,stockings,stockings_mooney_dot_on1,target,regular,pre,on
120,3,dot,bread,bread_mooney_dot_on1,target,horizontal_flip,post,on
121,3,dot,mango,mango_mooney_dot_off2,target,upside_down,pre,off
122,3,dot,tank1,tank1_mooney_dot_off2,target,regular,post,off
123,3,dot,soup,soup_mooney_dot_on1,target,horizontal_flip,pre,on
124,3,dot,tank1,tank1_mooney_dot_off2,target,regular,post,off
125,3,dot,soup,soup_mooney_dot_off2,target,horizontal_flip,pre,off
126,3,dot,radar,radar_mooney_dot_off2,target,upside_down,post,off
127,3,dot,flipper,flipper_mooney_dot_off2,catch,horizontal_flip,post,off
128,3,dot,stockings,stockings_mooney_dot_on1,target,regular,pre,on
129,3,dot,flipper,flipper_mooney_dot_on1,catch,horizontal_flip,post,on
130,3,dot,tank1,tank1_mooney_dot_on1,target,regular,post,on
131,3,dot,flipper,flipper_mooney_dot_on1,catch,horizontal_flip,post,on
132,3,dot,mango,mango_mooney_dot_on1,target,upside_down,pre,on
133,3,dot,bread,bread_mooney_dot_off2,target,horizontal_flip,post,off
134,3,dot,soup,soup_mooney_dot_off2,target,horizontal_flip,pre,off
135,3,dot,mango,mango_mooney_dot_on1,target,upside_down,pre,on
136,3,dot,stockings,stockings_mooney_dot_off2,target,regular,pre,off
137,3,dot,flipper,flipper_mooney_dot_off2,catch,horizontal_flip,post,off
138,3,recognition,radar,radar_mooney,target,upside_down,post,
139,3,recognition,tank1,tank1_mooney,target,regular,post,
140,3,recognition,soup,soup_mooney,target,horizontal_flip,pre,
141,3,recognition,mango,mango_mooney,target,upside_down,pre,
142,3,recognition,flipper,flipper_mooney,catch,horizontal_flip,post,
143,3,recognition,stockings,stockings_mooney,target,regular,pre,
144,3,recognition,bread,bread_mooney,target,horizontal_flip,post,
145,3,recognition,soup,soup_gray,target,horizontal_flip,gray,
146,3,recognition,mango,mango_gray,target,upside_down,gray,
147,3,recognition,stockings,stockings_gray,target,regular,gray,
148,4,dot,lab_coat,lab_coat_mooney_dot_on1,target,horizontal_flip,pre,on
149,4,dot,washcloth,washcloth_mooney_dot_on1,target,upside_down,pre,on
150,4,dot,mango,mango_mooney_dot_off2,target,upside_down,post,off
151,4,dot,soup,soup_mooney_dot_on1,target,horizontal_flip,post,on
152,4,dot,grain,grain_mooney_dot_on1,target,regular,pre,on
153,4,dot,washcloth,washcloth_mooney_dot_off2,target,upside_down,pre,off
154,4,dot,soup,soup_mooney_dot_off2,target,horizontal_flip,post,off
155,4,dot,lab_coat,lab_coat_mooney_dot_on1,target,horizontal_flip,pre,on
156,4,dot,stockings,stockings_mooney_dot_off2,target,regular,post,off
157,4,dot,grain,grain_mooney_dot_off2,target,regular,pre,off
158,4,dot,soup,soup_mooney_dot_on1,target,horizontal_flip,post,on
159,4,dot,stockings,stockings_mooney_dot_on1,target,regular,post,on
160,4,dot,washcloth,washcloth_mooney_dot_off2,target,upside_down,pre,off
161,4,dot,mango,mango_mooney_dot_off2,target,upside_down,post,off
162,4,dot,soup,soup_mooney_dot_off2,target,horizontal_flip,post,off
163,4,dot,stockings,stockings_mooney_dot_off2,target,regular,post,off
164,4,dot,lab_coat,lab_coat_mooney_dot_off2,target,horizontal_flip,pre,off
165,4,dot,stockings,stockings_mooney_dot_on1,target,regular,post,on
166,4,dot,washcloth,washcloth_mooney_dot_on1,target,upside_down,pre,on
167,4,dot,mango,mango_mooney_dot_on1,target,upside_down,post,on
168,4,dot,grain,grain_mooney_dot_off2,target,regular,pre,off
169,4,dot,lab_coat,lab_coat_mooney_dot_off2,target,horizontal_flip,pre,off
170,4,dot,grain,grain_mooney_dot_on1,target,regular,pre,on
171,4,dot,mango,mango_mooney_dot_on1,target,upside_down,post,on
172,4,recognition,lab_coat,lab_coat_mooney,target,horizontal_flip,pre,
173,4,recognition,mango,mango_mooney,target,upside_down,post,
174,4,recognition,washcloth,washcloth_mooney,target,upside_down,pre,
175,4,recognition,stockings,stockings_mooney,target,regular,post,
176,4,recognition,grain,grain_mooney,target,regular,pre,
177,4,recognition,soup,soup_mooney,target,horizontal_flip,post,
178,4,recognition,lab_coat,lab_coat_gray,target,horizontal_flip,gray,
179,4,recognition,grain,grain_gray,target,regular,gray,
180,4,recognition,washcloth,washcloth_gray,target,upside_down,gray,
181,5,dot,grain,grain_mooney_dot_on1,target,regular,post,on
182,5,dot,washcloth,washcloth_mooney_dot_off2,target,upside_down,post,off
183,5,dot,grain,grain_mooney_dot_off2,target,regular,post,off
184,5,dot,washcloth,washcloth_mooney_dot_on1,target,upside_down,post,on
185,5,dot,lab_coat,lab_coat_mooney_dot_on1,target,horizontal_flip,post,on
186,5,dot,grain,grain_mooney_dot_on1,target,regular,post,on
187,5,dot,lab_coat,lab_coat_mooney_dot_off2,target,horizontal_flip,post,off
188,5,dot,washcloth,washcloth_mooney_dot_on1,target,upside_down,post,on
189,5,dot,lab_coat,lab_coat_mooney_dot_off2,target,horizontal_flip,post,off
190,5,dot,grain,grain_mooney_dot_off2,target,regular,post,off
191,5,dot,washcloth,washcloth_mooney_dot_off2,target,upside_down,post,off
192,5,dot,lab_coat,lab_coat_mooney_dot_on1,target,horizontal_flip,post,on
193,5,recognition,grain,grain_mooney,target,regular,post,
194,5,recognition,lab_coat,lab_coat_mooney,target,horizontal_flip,post,
195,5,recognition,washcloth,washcloth_mooney,target,upside_down,post,
