index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,verbal_id,semantic_distance,verbal_acc_corrected
117,,,,,,html-keyboard-response,123,592634,0.0-11.0-5.22-1.22,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1338.7999999970198,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,23,1,dot,bat2,bat2_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,,
121,,,,,,html-keyboard-response,127,594522,0.0-11.0-5.23-1.23,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,881.1000000089407,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,24,1,dot,figurine,figurine_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,0,0,,,,
125,,,,,,html-keyboard-response,131,596551,0.0-11.0-5.24-1.24,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1016.3999999910593,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on7.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,25,1,dot,puddle,puddle_mooney_dot_on7,target,upside_down,post,on,Exp,dot_recog,i,1,1,,,,
129,,,,,,html-keyboard-response,135,598385,0.0-11.0-5.25-1.25,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,824,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on7.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,26,1,dot,snail,snail_mooney_dot_on7,target,horizontal_flip,post,on,Exp,dot_recog,i,1,1,,,,
133,,,,,,html-keyboard-response,139,600497,0.0-11.0-5.26-1.26,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1102.7999999970198,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,27,1,dot,puddle,puddle_mooney_dot_off8,target,upside_down,post,off,Exp,dot_recog,e,0,1,,,,
137,,,,,,html-keyboard-response,143,602592,0.0-11.0-5.27-1.27,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1086.2000000029802,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,28,1,dot,figurine,figurine_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,1,1,,,,
141,,,,,,html-keyboard-response,147,604638,0.0-11.0-5.28-1.28,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1038.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,29,1,dot,bat2,bat2_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,,
145,,,,,,html-keyboard-response,151,607407,0.0-11.0-5.29-1.29,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1760.5999999940395,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,30,1,dot,buoy,buoy_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,,
149,,,,,,html-keyboard-response,155,609758,0.0-11.0-5.30-1.30,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1328.1000000089407,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,31,1,dot,bat2,bat2_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,,
153,,,,,,html-keyboard-response,159,612850,0.0-11.0-5.31-1.31,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,2072.4000000059605,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,32,1,dot,snail,snail_mooney_dot_off8,target,horizontal_flip,post,off,Exp,dot_recog,i,1,0,,,,
157,,,,,,html-keyboard-response,163,615384,0.0-11.0-5.32-1.32,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1524.7000000029802,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on5.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,33,1,dot,candelabra,candelabra_mooney_dot_on5,target,regular,post,on,Exp,dot_recog,i,1,1,,,,
161,,,,,,html-keyboard-response,167,617907,0.0-11.0-5.33-1.33,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1508.2000000029802,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,34,1,dot,buoy,buoy_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,,
165,,,,,,html-keyboard-response,171,621331,0.0-11.0-5.34-1.34,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,2395.2999999970198,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on7.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,35,1,dot,candelabra,candelabra_mooney_dot_on7,target,regular,post,on,Exp,dot_recog,e,0,0,,,,
169,,,,,,html-keyboard-response,175,624458,0.0-11.0-5.35-1.35,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,2109,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off6.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,36,1,dot,snail,snail_mooney_dot_off6,target,horizontal_flip,post,off,Exp,dot_recog,e,0,1,,,,
173,,,,,,html-keyboard-response,179,626196,0.0-11.0-5.36-1.36,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,725.2999999970198,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,37,1,dot,buoy,buoy_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,,
177,,,,,,html-keyboard-response,183,629281,0.0-11.0-5.37-1.37,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,2072.9000000059605,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,38,1,dot,candelabra,candelabra_mooney_dot_off8,target,regular,post,off,Exp,dot_recog,i,1,0,,,,
181,,,,,,html-keyboard-response,187,631487,0.0-11.0-5.38-1.38,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1187.2999999970198,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,39,1,dot,figurine,figurine_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,i,1,0,,,,
185,,,,,,html-keyboard-response,191,634656,0.0-11.0-5.39-1.39,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,2143.3999999910593,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,40,1,dot,bat2,bat2_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,,
189,,,,,,html-keyboard-response,195,637082,0.0-11.0-5.40-1.40,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1406.6000000089407,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off6.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,41,1,dot,puddle,puddle_mooney_dot_off6,target,upside_down,post,off,Exp,dot_recog,e,0,1,,,,
193,,,,,,html-keyboard-response,199,638906,0.0-11.0-5.41-1.41,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,799.0999999940395,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,42,1,dot,buoy,buoy_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,,
200,,,,,,survey-text-autocomplete,207,652694,0.0-11.0-6.42-4.42,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,,"{""recognition"":""minivan""}",,,,,43,1,recognition,figurine,figurine_mooney,target,regular,pre,null,Exp,Recognition,,,,,minivan,0.731715967587711,0.0
206,,,,,,survey-text-autocomplete,214,674532,0.0-11.0-6.43-4.43,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,,"""timeout""",,,,,44,1,recognition,bat2,bat2_mooney,target,upside_down,pre,null,Exp,Recognition,,,,,,,0.0
212,,,,,,survey-text-autocomplete,221,680652,0.0-11.0-6.44-4.44,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,,"{""recognition"":""whale""}",,,,,45,1,recognition,buoy,buoy_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,,whale,0.4938075959299233,0.0
218,,,,,,survey-text-autocomplete,228,689684,0.0-11.0-6.45-4.45,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,,"{""recognition"":""gazelle""}",,,,,46,1,recognition,candelabra,candelabra_mooney,target,regular,post,null,Exp,Recognition,,,,,gazelle,0.7454247919206225,0.0
224,,,,,,survey-text-autocomplete,235,701151,0.0-11.0-6.46-4.46,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,,"{""recognition"":""woman""}",,,,,47,1,recognition,puddle,puddle_mooney,target,upside_down,post,null,Exp,Recognition,,,,,woman,0.7628868920693577,0.0
230,,,,,,survey-text-autocomplete,242,705535,0.0-11.0-6.47-4.47,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,,"{""recognition"":""baby""}",,,,,48,1,recognition,snail,snail_mooney,target,horizontal_flip,post,null,Exp,Recognition,,,,,baby,0.7141163467127104,0.0
