trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position
140,4,dot,pomegranate,pomegranate_mooney_dot_off6,target,horizontal_flip,post,off
141,4,dot,candelabra,candelabra_mooney_dot_on7,target,regular,post,on
142,4,recognition,candelabra,candelabra_mooney,target,regular,post,
143,4,recognition,buoy,buoy_mooney,target,upside_down,post,
144,4,recognition,pomegranate,pomegranate_mooney,target,horizontal_flip,post,
145,4,recognition,missile,missile_mooney,target,upside_down,pre,
146,4,recognition,carriage,carriage_mooney,target,regular,pre,
147,4,recognition,figurine,figurine_mooney,target,horizontal_flip,pre,
148,4,recognition,carriage,carriage,target,regular,color,
149,4,recognition,figurine,figurine,target,horizontal_flip,color,
150,4,recognition,missile,missile,target,upside_down,color,
151,5,dot,carriage,carriage_mooney_dot_off6,target,regular,post,off
152,5,dot,missile,missile_mooney_dot_off8,target,upside_down,post,off
153,5,dot,figurine,figurine_mooney_dot_off8,target,horizontal_flip,post,off
154,5,dot,carriage,carriage_mooney_dot_on5,target,regular,post,on
155,5,dot,figurine,figurine_mooney_dot_off6,target,horizontal_flip,post,off
156,5,dot,missile,missile_mooney_dot_on7,target,upside_down,post,on
157,5,dot,figurine,figurine_mooney_dot_on5,target,horizontal_flip,post,on
158,5,dot,missile,missile_mooney_dot_on5,target,upside_down,post,on
159,5,dot,carriage,carriage_mooney_dot_off8,target,regular,post,off
160,5,dot,missile,missile_mooney_dot_off6,target,upside_down,post,off
161,5,dot,carriage,carriage_mooney_dot_on7,target,regular,post,on
162,5,dot,figurine,figurine_mooney_dot_on7,target,horizontal_flip,post,on
163,5,recognition,missile,missile_mooney,target,upside_down,post,
164,5,recognition,figurine,figurine_mooney,target,horizontal_flip,post,
165,5,recognition,carriage,carriage_mooney,target,regular,post,
